"ID","NVNUMERO","NVESTADO","FECHA_NV","FECHA_ENTREGA","CONCAUTO","CODPROD","NVCANT","CANT_FACT","DIF_FACT","NVPRECIO","DETPROD","NOMAUX","CODPROC","PROCESO","DESCPROC","TIEMPO","CANTPROD"
14,13520,A,"2025-01-21","2025-03-26",N,CAJ118506420200C20,400,0,400,2622.00,TAPA EMBALAJE 1185*642*200 C20,MIMET S.A. ,P001,PLIZADO,PROCESO DE PLIZADO NORMAL ,30,1100
15,13520,A,"2025-01-21","2025-03-26",N,CAJ118506420200C20,400,0,400,2622.00,TAPA EMBALAJE 1185*642*200 C20,MIMET S.A. ,P003,CALADO,PROCESO CALADO NORMAL,30,1080
16,13520,A,"2025-01-21","2025-03-26",N,CAJ118506420200C20,400,0,400,2622.00,TAPA EMBALAJE 1185*642*200 C20,MIMET S.A. ,P021,OTRO,PROCESO EMBALADO CAJAS,20,1620
17,13520,A,"2025-01-21","2025-03-26",N,CAJ102406420225C20,2000,0,2000,2707.00,TAPA 1024*642*225 C20 FO,MIMET S.A. ,P004,CALADO,PROCESO CALADO BIPARTIDAS,46,710
18,13520,A,"2025-01-21","2025-03-26",N,CAJ102406420225C20,2000,0,2000,2707.00,TAPA 1024*642*225 C20 FO,MIMET S.A. ,P018,TROZADO,PROCESO DE TROZADO,45,750
19,13550,A,"2025-02-05","2025-02-21",N,EMP117009700350D94,2000,1496,504,4949.00,BIN 1170*970*350 D94 B2 TRO.,SYNERGIABIO BIOTECNOS LTDA ,P016,EMPLACADO,PROCESO DE EMPLACADO E2,87,380
20,13550,A,"2025-02-05","2025-02-21",N,EMP117009700350D94,2000,1496,504,4949.00,BIN 1170*970*350 D94 B2 TRO.,SYNERGIABIO BIOTECNOS LTDA ,P018,TROZADO,PROCESO DE TROZADO,45,750
21,13550,A,"2025-02-05","2025-02-21",N,EMP117009700350D94,2000,1496,504,4949.00,BIN 1170*970*350 D94 B2 TRO.,SYNERGIABIO BIOTECNOS LTDA ,P020,OTRO,PROCESO EMBALADO BIN,30,1080
22,13550,A,"2025-02-05","2025-02-21",N,EMP117009700350D94,2000,1496,504,4949.00,BIN 1170*970*350 D94 B2 TRO.,SYNERGIABIO BIOTECNOS LTDA ,P023,TROQUELADO,PROCESO TROQUELADO GRANDE,39,830
23,13550,A,"2025-02-05","2025-02-21",N,EMP117009700350D94,2000,1496,504,4949.00,BIN 1170*970*350 D94 B2 TRO.,SYNERGIABIO BIOTECNOS LTDA ,P024,OTRO,PROCESO DE PRENSADO,60,1520
24,13550,A,"2025-02-05","2025-02-21",N,EMP117009700350D94,2000,1496,504,4949.00,BIN 1170*970*350 D94 B2 TRO.,SYNERGIABIO BIOTECNOS LTDA ,P025,OTRO,PROCESO DE DOBLADO,90,360
