"CodProd","CodMat","DesProd","CantMat"
CAJ039002700330C20,PLA280021450004C20,PLACA 2800*2145 C20,0.130
CAJ059002400235C20,PLA270015700004C20,PLACA 2700*1570 C20,0.230
CAJ08000551010012C,PLA25001570000412C,PLACA 2500*1570 12C,0.250
CAJ115009500700C20,PLA250024500004C20,PLACA 2500*2450 C20,0.670
CAJ138506420215C20,PLA210021450004C20,PLACA 2100*2145 C20,0.500
CAJ253505400545D92,PLA280021450007D92,PLACA 2800*2145 D92,2.000
CUB10400185004009B,PLA11000780000309B,PLACA 1100*780 09B,0.500
EMP06000495009010C,PLA25001570000412C,PLACA 2500*1570 12C,0.170
EMP105008501000D92,PLA220021450007D92,PLACA 2200*2145 D92,3.000
EMP120000120100D92,PLA251521450007D92,PLACA 2515*2145 D92,0.300
EMP120000120145D92,PLA251521450007D92,PLACA 2515*2145 D92,0.400
EMP120008000700D92,PLA220021450007D92,PLACA 2200*2145 D92,1.340
EMP120009700835D92,PLA250024500004C20,PLACA 2500*2450 C20,1.000
EMP120009700835D92,PLA250024500004C20,PLACA 2500*2450 C20,1.000
EMP12001000000D92 ,PLA251521450007D92,PLACA 2515*2145 D92,0.500
EMP120010000014D92,PLA251521600007D92,PLACA 2515*2160 D92,0.500
EMP120010000600D94,PLA189021450007D94,PLACA 2350*2145 D94,1.340
EMP120010001000D92,PLA251521450007D92,PLACA 2515*2145 D92,1.000
EMP120010001000D92,PLA251521450007D92,PLACA 2515*2145 D92,1.000
EMP123000110140D92,PLA251521450007D92,PLACA 2515*2145 D92,0.430
EMP145008500850D94,PLA251521450007D92,PLACA 2515*2145 D92,2.000
EMP206010100021D98,PLA206010150007D98,PLACA 2060*1015 D98,12.000
EMP251510600021D92,PLA251521450007D92,PLACA 2515*2145 D92,1.500
EMP700700200875D98,PLA210019700007D98,PLACA 2100*1970 D98,1.000
EMP700700200875D98,PLA210019700007D98,PLACA 2100*1970 D98,1.000
EMP86008600500D94,PLA220021450007D94,PLACA 2200*2145 D94,1.000
EMPO78005750300D94,PLA220021450007D94,PLACA 2200*2145 D94,0.670
EMPO78005800600D94,PLA220021450007D94,PLACA 2200*2145 D94,1.340
REL0110002739.309B,PLA11000780000309B,PLACA 1100*780 09B,1.500
REL0110002739.509B,PLA11000780000309B,PLACA 1100*780 09B,1.550
REL0120002739.309B,PLA12000780000309B,PLACA 1200*780 09B,1.500
REL0120003239.310E,PLA12000780000210E,PLACA 1200*780 10E,1.800
REL0120003739.310E,PLA12000780000210E,PLACA 1200*780 10E,2.060
"REL0470000639,509B",PLA09500780000309B,PLACA 950*780 09B,0.170
REL0800003135.610E,PLA08000780000210E,PLACA 800*780 10E,1.900
REL0900002537.509B,PLA0900076500039B,PLACA 900*765 9B,1.400
REL0900002737.509B,PLA0900076500039B,PLACA 900*765 9B,1.500
REL0900002938.510E,PLA0900078000039B,PLACA 900*780 9B,1.200
REL0900002938.510E,PLA0900078000039B,PLACA 900*780 9B,1.200
REL0900003132.510E,PLA09500780000309B,PLACA 950*780 09B,1.000
REL0900003132.510E,PLA09500780000309B,PLACA 950*780 09B,1.000
REL0900003139.510E,PLA0900078000039B,PLACA 900*780 9B,1.170
REL0900003139.510E,PLA0900078000039B,PLACA 900*780 9B,1.170
REL0900003239.510E,PLA0900078000039B,PLACA 900*780 9B,1.200
REL0900003239.510E,PLA0900078000039B,PLACA 900*780 9B,1.200
REL0950000632.509B,PLA09500780000309B,PLACA 950*780 09B,0.300
REL0950000637.509B,PLA09500780000309B,PLACA 950*765 09B,0.340
REL0950000639.509B,PLA09500780000309B,PLACA 950*765 09B,0.340
REL0950001539.509B,PLA09500780000309B,PLACA 950*780 09B,0.830
REL0950001834.509B,PLA09500780000309B,PLACA 950*765 09B,0.900
REL0950001837.509B,PLA09500780000309B,PLACA 950*780 09B,0.950
REL0950001838.009B,PLA09500780000309B,PLACA 950*780 09B,0.950
REL0950001839.509B,PLA09500780000309B,PLACA 950*780 09B,1.000
REL0950001840.509B,PLA09500780000309B,PLACA 950*780 09B,0.940
REL0950002023.009B,PLA09500780000309B,PLACA 950*780 09B,0.690
REL0950002023.509B,PLA09500780000309B,PLACA 950*765 09B,0.720
REL0950002026.409B,PLA09500780000309B,PLACA 950*765 09B,0.800
REL0950002033.509B,PLA09500780000309B,PLACA 950*765 09B,1.000
EMP105008501000D94,PLA220021450007D94,PLACA 2200*2145 D94,1.000
EMP105008501000D94,PLA220021450007D94,PLACA 2200*2145 D94,1.000
EMP105008501050D94,PLA220021450007D94,PLACA 2200*2145 D94,1.000
EMP105008501050D94,PLA220021450007D94,PLACA 2200*2145 D94,1.000
EMP107009700890D92,PLA220021450007D92,PLACA 2200*2145 D92,2.000
EMP107009800660D94,PLA189021450007D94,PLACA 2350*2145 D94,1.340
EMP107010701010D94,PLA189021450007D94,PLACA 2350*2145 D94,2.000
EMP107310730340D92,PLA251521450007D92,PLACA 2515*2145 D92,0.400
EMP107310730340D92,PLA251521450007D92,PLACA 2515*2145 D92,0.400
EMP108009801025D94,PLA220021450007D94,PLACA 2200*2145 D94,1.000
EMP108009801025D94,PLA220021450007D94,PLACA 2200*2145 D94,1.000
EMP109009601200D98,PLA233024300007D98,PLACA 2330*2430 D98,1.000
EMP109009601200D98,PLA233024300007D98,PLACA 2330*2430 D98,1.000
EMP109009601201D94,PLA233024300007D98,PLACA 2330*2430 D98,1.000
EMP109009601201D94,PLA233024300007D98,PLACA 2330*2430 D98,1.000
EMP110000100050D92,PLA220021450007D92,PLACA 2200*2145 D92,0.130
EMP110004300510D92,PLA220021450007D92,PLACA 2200*2160 D92,1.000
EMP110009300695D92,PLA220021450007D92,PLACA 2200*2145 D92,1.340
EMP110011001000D92,PLA251521450007D92,PLACA 2515*2145 D92,1.000
EMP110011001000D92,PLA251521450007D92,PLACA 2515*2145 D92,1.000
EMP111509501001D92,PLA251521450007D92,PLACA 2515*2145 D92,1.000
